video_name,cause_text,emotion_text,timestamp_range
1-001.mp4,"So he looked down again and he said, hey, I'm Jewish.",I know the difference.,"00:01:47,919 --> 00:01:51,919"
1-002.mp4,"No, these are proper, proper, a little bit medals.",Wow.,"00:04:04,400 --> 00:04:08,640"
1-003.mp4,"Oh, the French got gold.",Oh.,"00:04:16,720 --> 00:04:50,319"
1-004.mp4,"But the great thing is, Ireland doesn't ever want any medal in rowing before.",Woo-hoo!,"00:05:43,759 --> 00:05:54,519"
1-007.mp4,"..I got mixed up in the wash, you know.",And I was wearing my mother's underwear.,"00:07:58,000 --> 00:08:02,240"
1-015.mp4,I love it.,I only ask!,"00:09:24,399 --> 00:09:26,399"
1-017.mp4,I'm from now. I go back in Paris.,and you just kind of... it's kind of awesome.,"00:10:14,200 --> 00:10:25,280"
1-027.mp4,"You were playing Gullisport. Yes, I played that.","No, that's great.","00:13:33,519 --> 00:13:37,680"
1-028.mp4,You talk about your dreams and your life.,It's so great. It's so great.,"00:14:13,240 --> 00:14:18,840"
1-030.mp4,"Brad Pitt, also a great big fan.",That was the best night of my life.,"00:16:51,399 --> 00:16:54,399"
1-031.mp4,That was the best night of my life.,I'm happy.,"00:16:53,399 --> 00:16:57,399"
1-032.mp4,"Brad Pitt, also a great big fan.",I'm happy.,"00:16:51,399 --> 00:16:57,399"
1-033.mp4,"and someone went, it's Brad Pitt, and I was like, oh...","emoji heart eyes being like, this is just the greatest moment of my life.","00:18:02,400 --> 00:18:37,400"
1-034.mp4,The person who was my friend ended up doing the highest bid.,"emoji heart eyes being like, this is just the greatest moment of my life.","00:18:21,400 --> 00:18:37,400"
10-001.mp4,"No, I kind of enjoy it, especially if they do it well.",I love it.,"00:00:17,000 --> 00:00:26,000"
10-002.mp4,"It's kind of cool, and it's kind of wooding,",and you're just kind of awesome.,"00:01:20,000 --> 00:01:25,000"
10-003.mp4,"Yes, I played Gullisport.","No, that's great.","00:04:36,000 --> 00:04:39,000"
10-004.mp4,That's my favorite scene.,Was he your favorite scene?,"00:04:40,000 --> 00:04:42,000"
10-005.mp4,And you talk about dreams and you talk about your life.,It's so great.,"00:05:14,000 --> 00:05:19,000"
10-006.mp4,It's so great.,It's so great.,"00:05:18,000 --> 00:05:20,000"
10-007.mp4,And you talk about dreams and you talk about your life.,It's so great.,"00:05:14,000 --> 00:05:19,000"
10-008.mp4,The tour sold out in literally two days.,So you guys are amazing.,"00:07:11,000 --> 00:07:14,000"
10-009.mp4,Major thank you to the UK fans.,The tour sold out in literally two days.,"00:07:08,000 --> 00:07:13,000"
10-010.mp4,is loads of cushions.,My face on it.,"00:09:25,000 --> 00:09:30,000"
10-011.mp4,"Brad Pitt, also a big fan.",That was the best night of my life.,"00:10:37,000 --> 00:10:41,000"
10-012.mp4,"Brad Pitt, also a big fan.",That was the best night of my life.,"00:10:37,000 --> 00:10:41,000"
10-013.mp4,"oh, this is absolutely mental,","and someone went, it's Brad Pitt, and I was like, oh...","00:11:49,000 --> 00:11:52,000"
10-014.mp4,"and someone went, it's Brad Pitt, and I was like, oh...","Oh, my God.","00:11:51,000 --> 00:11:53,000"
10-015.mp4,"and someone went, it's Brad Pitt, and I was like, oh...","Oh, my God.","00:11:49,000 --> 00:11:52,000"
10-016.mp4,"But, yeah, I just kind of looked over with just the most insane, emoji heart eyes being like this is just the greatest moment of my life.","Oh, oh, oh!","00:12:21,000 --> 00:12:30,000"
10-017.mp4,We got this for you!,Aww!,"00:12:48,879 --> 00:12:54,559"
10-018.mp4,We got this for you!,Aww!,"00:12:48,879 --> 00:12:54,559"
10-019.mp4,"OK, the noises that you're making, could you make the noises that you might make getting into a hot bath?","oh, oh, oh, oh, oh, oh, oh.","00:14:16,159 --> 00:14:31,159"
10-020.mp4,"And I said, oh, shut up, monkey feet.","Oh, no.","00:16:12,159 --> 00:16:18,159"
10-023.mp4,"It's good, right? That is good.",APPLAUSE,"00:17:39,160 --> 00:17:43,160"
10-032.mp4,"Because it's really amazing, jump together.",Get in.,"00:24:23,160 --> 00:24:28,160"
10-033.mp4,I was an Abercrombie model.,Get in.,"00:24:25,160 --> 00:24:28,160"
10-034.mp4,And we got to travel all these other schools to meet women.,"Oh, my God.","00:26:14,160 --> 00:26:19,160"
10-035.mp4,What was totally dope?,"Oh, my God.","00:26:17,160 --> 00:26:20,160"
10-036.mp4,What was totally dope?,I'm such a fan.,"00:26:17,160 --> 00:26:22,160"
10-037.mp4,What was totally dope?,"I'm like, this is huge.","00:26:17,160 --> 00:26:24,160"
10-038.mp4,I'm single.,"Well, hello.","00:27:06,160 --> 00:27:09,160"
10-039.mp4,It's a good one for sure.,"Oh, my God, you're so good.","00:28:07,160 --> 00:28:10,160"
10-040.mp4,"And we're like, this is pretty exciting.","Yes, I love this.","00:28:16,160 --> 00:28:19,160"
10-041.mp4,"Okay, oh, this is fantastic.",This is fantastic.,"00:28:31,160 --> 00:28:34,160"
10-042.mp4,Really?,"Oh, my God, you're so good.","00:28:08,160 --> 00:28:10,160"
10-043.mp4,"And we're like, this is pretty exciting.","Yes, I love this.","00:28:16,160 --> 00:28:19,160"
10-044.mp4,Just drop me from going over that way and then I can balance.,"Okay, oh, this is fantastic.","00:28:29,160 --> 00:28:33,160"
10-047.mp4,"but actually, it sounds very like what you did.","Oh, my God.","00:31:16,000 --> 00:31:28,439"
10-049.mp4,"but actually, it sounds very like what you did.","Oh, my God.","00:31:16,000 --> 00:31:28,439"
10-050.mp4,"You did an incredible Chubaka,",but I'm told you also do a jaw jaw binks.,"00:33:23,519 --> 00:33:29,519"
10-052.mp4,She's four months twice.,Can I suggest you take him out tomorrow night when this is on?,"00:33:39,519 --> 00:33:45,519"
10-054.mp4,"Oh, my God.",I love it.,"00:36:16,519 --> 00:36:19,519"
10-055.mp4,"Wow, literally dumped. I think everyone won't have the date when you got dumped.",Yes!,"00:36:21,519 --> 00:36:28,519"
10-056.mp4,"Oh, my God.",I love it.,"00:36:16,519 --> 00:36:19,519"
10-057.mp4,I think everyone won't have the date when you got dumped.,Yes!,"00:36:23,519 --> 00:36:28,519"
10-058.mp4,"Yes, sir.",Wow.,"00:36:48,519 --> 00:36:51,519"
10-059.mp4,He was not the greatest producer in the world.,He was the greatest producer in the world.,"00:38:15,519 --> 00:38:19,519"
10-060.mp4,"So it's like, it's like, honestly, I like, I saw this guy. Yeah, it's like, I was like, I just, they did like Michael Cheat on me when he was in a beef heart.",I'm so proud of you.,"00:40:12,199 --> 00:40:37,199"
10-061.mp4,"Because he's telling me, he's like, you know, I miss you or whatever.",I'm so proud of you.,"00:40:27,199 --> 00:40:37,199"
10-062.mp4,"Yeah, so, so competitive.",Wow.,"00:42:06,199 --> 00:42:09,199"
10-063.mp4,Turn around.,Oh!,"00:43:16,199 --> 00:43:17,199"
10-064.mp4,"Yes, I like that.",I'm just hitting the middle.,"00:43:08,199 --> 00:43:13,199"
10-065.mp4,Oh!,One eighty-two.,"00:43:16,199 --> 00:43:23,199"
10-066.mp4,Oh.,That's a good one.,"00:43:35,199 --> 00:43:37,199"
10-067.mp4,Oh!,"Oh my god, oh my god, oh my god.","00:43:52,199 --> 00:43:56,199"
10-068.mp4,Wow!,It's five nine four.,"00:43:56,199 --> 00:44:03,199"
10-069.mp4,Oh!,Wow!,"00:44:21,199 --> 00:44:27,199"
10-070.mp4,"And it's him last first, Lou.",Oh!,"00:43:46,199 --> 00:43:53,199"
10-071.mp4,It's five nine four to beat.,Oh!,"00:44:11,199 --> 00:44:22,199"
10-072.mp4,This is Technically Could Do. The World Champion.,Oh!,"00:45:08,199 --> 00:45:11,199"
10-073.mp4,Your film comes out on February 14th.,"Oh my God, I'm pulling teeth.","00:45:35,199 --> 00:45:41,199"
10-074.mp4,"Oh, well, that isn't you.",But it could be you with a leg in the air.,"00:46:13,199 --> 00:46:17,199"
10-075.mp4,but it was sort of asked to come and...,But I love you too.,"00:47:13,199 --> 00:47:16,199"
