video_name,cause_text,emotion_text,timestamp_range
22-001.mp4,"I just thought maybe you'd like to film more at home, you know?",Yeah!,"00:00:23,000 --> 00:00:38,000"
22-002.mp4,"I just thought maybe you'd like to film more at home, you know?",Holy moly!,"00:00:23,000 --> 00:00:39,000"
22-003.mp4,I don't even know how you knew that I went to jail.,Yeah!,"00:00:29,000 --> 00:00:38,000"
22-004.mp4,I don't even know how you knew that I went to jail.,Holy moly!,"00:00:29,000 --> 00:00:39,000"
22-005.mp4,They said she had a mean flow.,I like that one.,"00:03:55,000 --> 00:04:02,000"
22-006.mp4,Because the white guy actually did it?,Oh.,"00:04:23,000 --> 00:04:28,000"
22-007.mp4,It's when the devil tells the priest to get out of the child.,Oh.,"00:05:12,000 --> 00:05:19,000"
22-008.mp4,One sharks between here and fish her with two.,Yeah!,"00:06:34,000 --> 00:06:43,000"
22-009.mp4,One sharks between here and fish her with two.,Yeah!,"00:06:34,000 --> 00:06:43,000"
22-010.mp4,Mm-hmm.,It's clever.,"00:08:55,000 --> 00:08:59,000"
22-011.mp4,"I wanted to say, if you just need to be resting and be bee on your belly.","Yeah, be good, it's so good.","00:09:56,000 --> 00:10:01,000"
22-012.mp4,South of Lanzadil.,"Yeah, nice one.","00:12:42,000 --> 00:12:46,000"
22-013.mp4,Via lockdown.,"Oh, it's like LinkedIn.","00:13:39,000 --> 00:13:44,000"
22-014.mp4,What are you called children born in a whole house?,Brothel sprouts.,"00:13:57,000 --> 00:14:03,000"
22-015.mp4,Brothel sprouts.,That's good.,"00:14:01,000 --> 00:14:12,000"
22-016.mp4,"Thank you, Shar, though, because that was a love apparently.",That was funny.,"00:14:40,000 --> 00:14:45,000"
22-017.mp4,Loading the dishwasher.,That's not funny.,"00:15:26,000 --> 00:15:36,000"
22-018.mp4,That's not funny.,That's terrible.,"00:15:34,000 --> 00:15:40,000"
22-019.mp4,That's terrible.,I love stepmother porn.,"00:15:38,000 --> 00:15:56,000"
23-001.mp4,"OK, well, cheers to my funny joke.",Um...,"00:01:27,599 --> 00:01:33,599"
23-002.mp4,...saying he could disappear by counting to three.,Poo!,"00:01:35,599 --> 00:01:42,599"
23-003.mp4,So why wouldn't they let the dog in the UFC?,Because his bark was worse than his bite.,"00:03:50,599 --> 00:03:57,599"
23-004.mp4,So why wouldn't they let the dog in the UFC? Because his bark was worse than his bite.,"Everyone's like, I didn't kill it.","00:03:50,599 --> 00:04:04,599"
23-005.mp4,Have you seen the movie about a little fish with cancer?,I had that so bad!,"00:06:46,600 --> 00:06:55,600"
23-006.mp4,That was great.,That was so great!,"00:07:47,600 --> 00:08:14,600"
23-007.mp4,That was so great!,I was so surprised.,"00:08:13,600 --> 00:08:17,600"
23-008.mp4,That was so great!,I was so surprised.,"00:08:13,600 --> 00:08:17,600"
23-009.mp4,"I'm sorry, but that was fun.",Holy shit!,"00:11:21,600 --> 00:11:26,600"
23-010.mp4,What type of bus crossed the ocean?,"That's... that's it. That's still the bus, boss.","00:11:37,600 --> 00:11:47,600"
23-011.mp4,You're just winning.,I can't.,"00:14:20,600 --> 00:14:27,600"
23-012.mp4,Clam media.,Um...,"00:14:41,600 --> 00:15:00,600"
23-013.mp4,"And then he comes on and gives the worst, best performance ever.",Oh my god.,"00:16:21,600 --> 00:16:27,600"
23-014.mp4,"Hey, welcome.",Go Payton!,"00:19:52,599 --> 00:19:58,599"
24-001.mp4,"It's good to see you, man.",Likewise.,"00:00:32,000 --> 00:00:34,000"
24-002.mp4,I changed.,Whoa!,"00:01:16,000 --> 00:01:18,000"
24-003.mp4,so you can keep up with the movies and TV shows that you enjoy.,That's amazing.,"00:02:46,000 --> 00:02:50,000"
24-004.mp4,"Because every time they get a corner, they open a restaurant.","You know, like...","00:04:55,000 --> 00:05:03,000"
24-005.mp4,What do you call a Chinese guy with a camera?,Filming!,"00:07:01,000 --> 00:07:06,000"
24-006.mp4,Filming!,Oh!,"00:07:05,000 --> 00:07:07,000"
24-007.mp4,"And I thought to myself,","Huh, that's a good deal.","00:08:00,000 --> 00:08:04,000"
24-008.mp4,I thought she was joking.,Yeah.,"00:08:35,000 --> 00:08:38,000"
24-009.mp4,But then I saw her face.,And I'm a believer.,"00:08:38,000 --> 00:08:43,000"
24-010.mp4,"Ellen, would you believe the doctor told me I had to stop masturbating?","And he said, because I'm trying to examine you.","00:09:07,000 --> 00:09:15,000"
24-011.mp4,Why are chickens so funny?,Nice.,"00:11:25,000 --> 00:11:37,000"
24-012.mp4,Are you a pothole?,"That was great, I think.","00:11:57,000 --> 00:12:01,000"
24-013.mp4,"That's funny, Steve.",That's a good idea.,"00:12:13,000 --> 00:12:33,000"
24-014.mp4,"Yeah, I could tell.",Because they're good.,"00:13:39,000 --> 00:13:43,000"
24-015.mp4,Because they're good.,"The sex is the same, but the dishes start to pile up.","00:13:41,000 --> 00:13:53,000"
24-016.mp4,That's so much.,That's so good.,"00:15:52,000 --> 00:15:58,000"
24-017.mp4,Quiet horse.,That's great.,"00:18:13,000 --> 00:18:21,000"
24-018.mp4,Quiet horse who?,That's great.,"00:18:14,000 --> 00:18:21,000"
24-019.mp4,"For anyone who missed that, I'll just broke the chair by being fat.","Oh, my God.","00:20:30,000 --> 00:20:44,000"
24-020.mp4,Talk about transistor radio.,"Wow, you really have a knack of playing with words amazing.","00:22:50,000 --> 00:23:02,000"
24-021.mp4,You were in the video.,Diffin' Abby. Are you serious?,"00:24:19,000 --> 00:24:24,000"
24-022.mp4,He's where I write myself.,Yeah!,"00:25:39,000 --> 00:25:43,000"
24-023.mp4,What did the Terminator say at the grocery store,Oh!,"00:25:51,000 --> 00:26:04,000"
24-024.mp4,What did the Terminator say at the grocery store,Oh!,"00:25:51,000 --> 00:26:06,000"
24-025.mp4,What did the Terminator say at the grocery store,Oh!,"00:25:51,000 --> 00:26:08,000"
24-026.mp4,Because he's smashing balls.,Oh my god.,"00:28:31,000 --> 00:29:05,000"
24-027.mp4,He's so funny.,Oh my god.,"00:27:51,000 --> 00:29:05,000"
25-005.mp4,That was pretty good. That was good. That was good.,Yeah.,"00:03:28,479 --> 00:03:32,479"
25-006.mp4,"And she went, thanks for the bag, Dad.",Oh!,"00:03:45,479 --> 00:03:50,479"
25-007.mp4,Oh!,That was so good.,"00:03:48,479 --> 00:03:52,479"
25-008.mp4,The seat.,"Oh, yes, yes.","00:04:24,480 --> 00:04:28,480"
25-009.mp4,What?,The seat.,"00:04:24,480 --> 00:04:26,480"
25-010.mp4,The seat.,"Oh, yes, yes.","00:04:25,480 --> 00:04:28,480"
25-011.mp4,Non binary.,That's good.,"00:04:45,480 --> 00:04:50,480"
25-012.mp4,You had a four-kilo four-skit.,"Oh, thank you.","00:05:40,480 --> 00:05:45,480"
25-013.mp4,"Oh, thank you.","It's four kilos, but it's very small.","00:05:43,480 --> 00:05:48,480"
25-014.mp4,It was a shitsoo.,"Yeah, I got to take that.","00:07:44,480 --> 00:07:49,480"
25-015.mp4,It was a shitsoo.,I'll take that.,"00:07:44,480 --> 00:07:50,480"
25-016.mp4,It was a shitsoo.,That's good.,"00:07:44,480 --> 00:07:51,480"
25-017.mp4,I'm back baby.,Oh yeah.,"00:08:08,480 --> 00:08:10,480"
25-018.mp4,He's not allowed any bishops.,He's back baby.,"00:08:49,480 --> 00:08:51,480"
25-019.mp4,He's not allowed any bishops.,That's a pretty good joke.,"00:08:47,480 --> 00:08:53,480"
25-020.mp4,I guess I winged the Wong number.,"That was so funny, man.","00:10:38,840 --> 00:10:46,559"
25-021.mp4,"That was so funny, man.",That was good.,"00:10:44,559 --> 00:10:48,559"
25-022.mp4,That was good.,"That was really good, man.","00:10:46,559 --> 00:10:53,559"
25-023.mp4,"That was really good, man.",That was amazing.,"00:10:50,559 --> 00:10:54,559"
25-024.mp4,You loved it.,I loved it because we were so dumb.,"00:10:57,559 --> 00:11:00,559"
25-025.mp4,I guess I winged the Wong number.,"That was so funny, man.","00:10:38,840 --> 00:10:46,559"
25-026.mp4,I loved it because we were so dumb.,That was cool.,"00:10:58,559 --> 00:11:08,559"
25-027.mp4,Michael Phelps can finish a race.,"Oh, my God.","00:11:14,559 --> 00:11:19,559"
25-028.mp4,You said I touch kids with their own hands.,"Okay, you made me laugh, son.","00:12:48,559 --> 00:12:53,559"
25-029.mp4,You said I touch kids with their own hands.,"Okay, you made me laugh, son.","00:12:48,559 --> 00:12:53,559"
25-030.mp4,"Okay, you made me laugh, son.",I love that.,"00:12:51,559 --> 00:12:57,559"
25-031.mp4,Is that what you're doing?,"Yeah, this is great.","00:13:09,559 --> 00:13:11,559"
25-032.mp4,"Yeah, this is great.","Yeah, this is fun.","00:13:10,559 --> 00:13:12,559"
25-033.mp4,What do you call a line of people at a gay bar?,That was great.,"00:13:23,559 --> 00:13:33,559"
25-034.mp4,This is the craziest one.,I don't think I've been on a crazy...,"00:13:05,559 --> 00:13:09,559"
25-035.mp4,Is that what you're doing?,"Yeah, this is great.","00:13:09,559 --> 00:13:11,559"
25-036.mp4,"Yeah, this is great.","Yeah, this is fun.","00:13:10,559 --> 00:13:12,559"
25-037.mp4,What do you call a line of people at a gay bar?,An LGBTQ?,"00:13:23,559 --> 00:13:29,559"
25-038.mp4,That was great.,That was great.,"00:13:30,559 --> 00:13:34,559"
25-039.mp4,That was great.,That was great.,"00:13:33,559 --> 00:13:35,559"
25-040.mp4,That was great.,That was great.,"00:13:34,559 --> 00:13:36,559"
25-041.mp4,That was great.,"No, it's good.","00:13:35,559 --> 00:13:37,559"
25-042.mp4,"A sleep, because that motherfucker's dreaming.",Oh my God.,"00:14:27,559 --> 00:14:32,559"
25-043.mp4,What do you call a white man with a big ***?,Michael Jackson.,"00:14:52,559 --> 00:14:56,559"
25-044.mp4,Michael Jackson.,Hee hee.,"00:14:55,559 --> 00:14:57,559"
25-045.mp4,I can't believe it.,Oh yeah!,"00:14:58,559 --> 00:15:06,559"
25-046.mp4,Oh yeah!,Woo!,"00:15:03,559 --> 00:15:07,559"
25-047.mp4,Woo!,Yeah!,"00:15:06,559 --> 00:15:08,559"
25-048.mp4,Another white woman winning in life.,Fuck yes.,"00:15:08,559 --> 00:15:16,559"
25-049.mp4,Michael Jackson.,Oh yeah!,"00:14:55,559 --> 00:15:06,559"
25-050.mp4,I can't believe it.,Oh yeah!,"00:14:58,559 --> 00:15:06,559"
25-051.mp4,Another white woman winning in life.,Fuck yes.,"00:15:08,559 --> 00:15:16,559"
26-003.mp4,Oh!,"This is the title of this work, though.","00:01:46,840 --> 00:01:49,840"
26-004.mp4,What do you call a rooster that's not good at maths?,A math and a chicken.,"00:02:25,360 --> 00:02:33,360"
26-005.mp4,A disappointment?,A math and a chicken.,"00:02:29,360 --> 00:02:33,360"
26-006.mp4,You're not a chicken.,I'm not. Thank you.,"00:02:54,360 --> 00:02:57,360"
26-007.mp4,You're telling me I don't have to worry about nicks or cuts?,Mm-hmm.,"00:04:45,360 --> 00:04:49,360"
26-008.mp4,What?,Yogurt grows a culture if you leave it alone for 200 years.,"00:05:47,360 --> 00:05:52,360"
26-009.mp4,Oh!,you're just talking to your Uber driver?,"00:05:52,360 --> 00:06:14,360"
26-010.mp4,No!,I don't know why.,"00:06:14,360 --> 00:06:33,360"
26-011.mp4,Five stars with a joke in there.,No!,"00:06:16,360 --> 00:06:21,360"
26-012.mp4,"Yeah, I love it.",Oh!,"00:06:33,360 --> 00:06:40,360"
26-021.mp4,Oh!,"Oh, my God.","00:08:38,360 --> 00:08:41,360"
26-026.mp4,LAUGHTER,"We love you, Peyton.","00:09:58,360 --> 00:10:01,360"
26-047.mp4,That's really good.,Oh my god.,"00:14:07,360 --> 00:14:13,360"
26-048.mp4,A test tickle.,That's good.,"00:15:00,360 --> 00:15:07,360"
26-049.mp4,"I just want to be like you, Seth.",Oh my god.,"00:14:46,360 --> 00:14:54,360"
26-050.mp4,A test tickle.,That's good.,"00:14:59,360 --> 00:15:07,360"
26-051.mp4,How did you know? I actually did have toast this morning.,Yeah!,"00:15:46,360 --> 00:15:55,360"
