subclip_name,parent_clip,original_video,utterance_text,utterance_timestamp
1-001-001.mp4,1-001.mp4,1.mp4,"So he looked down again and he said, hey, I'm Jewish.",0:01:47.919000 --> 0:01:50.799000
1-001-002.mp4,1-001.mp4,1.mp4,I know the difference.,0:01:50.799000 --> 0:01:51.919000
1-002-001.mp4,1-002.mp4,1.mp4,"No, these are proper, proper, a little bit medals.",0:04:04.400000 --> 0:04:07.840000
1-002-002.mp4,1-002.mp4,1.mp4,Wow.,0:04:07.840000 --> 0:04:08.640000
1-003-001.mp4,1-003.mp4,1.mp4,"Oh, the French got gold.",0:04:16.720000 --> 0:04:18.800000
1-003-002.mp4,1-003.mp4,1.mp4,"Oh, I'm going to go.",0:04:18.800000 --> 0:04:20.319000
1-003-003.mp4,1-003.mp4,1.mp4,I'm going to have to go.,0:04:20.319000 --> 0:04:21.120000
1-003-004.mp4,1-003.mp4,1.mp4,"Toad, I'm going to go.",0:04:21.120000 --> 0:04:22
1-003-005.mp4,1-003.mp4,1.mp4,Is there anyone in Ireland who hasn't seen those medals?,0:04:22 --> 0:04:24.720000
1-003-006.mp4,1-003.mp4,1.mp4,"They look like they've been around the block, those medals.",0:04:24.720000 --> 0:04:27.920000
1-003-007.mp4,1-003.mp4,1.mp4,Yeah.,0:04:27.920000 --> 0:04:29.120000
1-003-008.mp4,1-003.mp4,1.mp4,"They're fairly casual, yeah.",0:04:29.120000 --> 0:04:30.399000
1-003-009.mp4,1-003.mp4,1.mp4,"And of course, Michael, down in Kulohani,",0:04:30.399000 --> 0:04:32.879000
1-003-010.mp4,1-003.mp4,1.mp4,word must have reached you off the Adoniver.,0:04:32.879000 --> 0:04:34.800000
1-003-011.mp4,1-003.mp4,1.mp4,"Oh, for sure.",0:04:34.800000 --> 0:04:35.360000
1-003-012.mp4,1-003.mp4,1.mp4,"I mean, I wasn't in Kulohani at the time,",0:04:35.360000 --> 0:04:36.959000
1-003-013.mp4,1-003.mp4,1.mp4,but everybody knew about it.,0:04:36.959000 --> 0:04:39.120000
